,Tweets,cleanedTweets
11,"I never understood the hype about Messi until today... Ay Ncah, the guy is a smart footballer 🔥🥵","I never understood the hype about Messi until today... Ay Ncah, the guy is a smart footballer 🔥🥵"
12,If it’s took you until today to realise Messi is the GOAT then you’ve been asleep for 15 years. There’s no words in the dictionary to describe how good he is at football,If it’s took you until today to realise Messi is the GOAT then you’ve been asleep for 15 years. There’s no words in the dictionary to describe how good he is at football
13,Wow until today i have to admit he’s good 😂 #Messi𓃵  #ARGCRO,Wow until today i have to admit he’s good 😂 Messi𓃵  ARGCRO
14,I never knew how Messi looks like until today. I think I saw him before but didn’t know who he is. This is how much I care about football.,I never knew how Messi looks like until today. I think I saw him before but didn’t know who he is. This is how much I care about football.
15,@ESPNFC Now Messi fans will hate Figo and they were calling him the best Portuguese player until today 😂😂😂, Now Messi fans will hate Figo and they were calling him the best Portuguese player until today 😂😂😂
16,Why did I not know Ronaldo was in the World Cup literally until today… everything been about Messi 🤣,Why did I not know Ronaldo was in the World Cup literally until today… everything been about Messi 🤣
17,"@buckeyedinapoli Of course.  100%.  I'm just saying that if I'm the organizing committee, I'd want the marquee matchup of Messi/Mbappé  (or until today, Messi/Ronaldo) over Croatia v. Morocco.  What they ""deserve"" is a different story."," Of course.  100%.  I'm just saying that if I'm the organizing committee, I'd want the marquee matchup of Messi/Mbappé  (or until today, Messi/Ronaldo) over Croatia v. Morocco.  What they ""deserve"" is a different story."
18,Took me until today to figure out Renaldo and Messi are two different people. I thought there was only one good soccer player named Ronaldo Messi #sorryformyignorance #itsstillcalledsoccer,Took me until today to figure out Renaldo and Messi are two different people. I thought there was only one good soccer player named Ronaldo Messi sorryformyignorance itsstillcalledsoccer
19,"""You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."" https://t.co/Dc1PJzfApg","""You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."" "
20,"Very interesting story which I personally had no idea about until today.

Lionel Messi clearly hasn't forgotten though, even after 20 years... #Messi𓃵  #NetherlandsvsArgentina 

https://t.co/t8zp8BrMUq","Very interesting story which I personally had no idea about until today.  Lionel Messi clearly hasn't forgotten though, even after 20 years... Messi𓃵  NetherlandsvsArgentina   "
21,"@wimkievt @nocontextfooty They started off as my 2nd team (minus my home country) until today. I can not, in good faith, root for divers and handballers. It's a shame really. The reason I always liked Messi was that he did not appear to be a dirty cheat like Maradonna!","  They started off as my 2nd team (minus my home country) until today. I can not, in good faith, root for divers and handballers. It's a shame really. The reason I always liked Messi was that he did not appear to be a dirty cheat like Maradonna!"
22,"@SamueILFC I use to like Argentina until today. When you lose, show some class and when you win show some class. Messi was the only Argentine who showed class today. The rest of them, including Martinez are classless. I hope and from what I saw today, Croatia go out and kick their butts."," I use to like Argentina until today. When you lose, show some class and when you win show some class. Messi was the only Argentine who showed class today. The rest of them, including Martinez are classless. I hope and from what I saw today, Croatia go out and kick their butts."
23,"@annessa97 @londoncabby17 @Tim_Vickery Vini was more influential until today, man. Statistics-wise is unquestionable. And Messi is on his fourth World Cup. 2 goals on Knockout stages? Shit, man. Is this a stat of a player who is the leader of his team on-field?","   Vini was more influential until today, man. Statistics-wise is unquestionable. And Messi is on his fourth World Cup. 2 goals on Knockout stages? Shit, man. Is this a stat of a player who is the leader of his team on-field?"
24,@shanur_rahman01 I liked messi until today. For me hé is a clown. But that is my humble opinion, I liked messi until today. For me hé is a clown. But that is my humble opinion
25,"Make I say the truth...
I use to think Messi is the best player before until today he played against Netherland I now comfirm that's he is not really the best but the greatest of all time 😜",Make I say the truth... I use to think Messi is the best player before until today he played against Netherland I now comfirm that's he is not really the best but the greatest of all time 😜
26,I never knew how much of a Messi fanboy I am until today 😭😭😭😭😭😭😭,I never knew how much of a Messi fanboy I am until today 😭😭😭😭😭😭😭
27,"People used to say Messi can do things Cristiano Ronaldo can't do, I used to misunderstand them until today...that pass was classic, a masterclass of football ⚽","People used to say Messi can do things Cristiano Ronaldo can't do, I used to misunderstand them until today...that pass was classic, a masterclass of football ⚽"
28,@StuartSmith8 Totally. Standard had been v good until today but he's having a mare. All of the issues are of his own making. Deliberate handball is mandatory yellow....unless your Messi!, Totally. Standard had been v good until today but he's having a mare. All of the issues are of his own making. Deliberate handball is mandatory yellow....unless your Messi!
29,"I honestly can’t remember the last time I’ve seen man marking over the last 15, 20yrs, until today. Van Gaal asking poor Ake to man mark Messi has brought out the genius in him","I honestly can’t remember the last time I’ve seen man marking over the last 15, 20yrs, until today. Van Gaal asking poor Ake to man mark Messi has brought out the genius in him"
30,"Never seen Messi nervous, until today","Never seen Messi nervous, until today"
31,"Until today, I never knew my 60 year old uncle is a Messi hater, yet an Ororian.","Until today, I never knew my 60 year old uncle is a Messi hater, yet an Ororian."
32,"@markgoldbridge Messi has been so awful, scoring ONLY against very weak teams, struggling in anUberEat league, getting embarrassed year after year since he turned 28 until today,
Ronaldo has conquered Europe and Italy at the same age, been top scorer and POTY with a sh!!try Untied team at 37yo."," Messi has been so awful, scoring ONLY against very weak teams, struggling in anUberEat league, getting embarrassed year after year since he turned 28 until today, Ronaldo has conquered Europe and Italy at the same age, been top scorer and POTY with a sh!!try Untied team at 37yo."
33,"@lholsy Because u are just looking at goals that's why
Strikers do much more than just score but if they don't score it doesn't mean automatically they had a bad game 
That's what stats do, they don't lie, but they don't tell the full story 
Same with Messi having 0 KO goals until today"," Because u are just looking at goals that's why Strikers do much more than just score but if they don't score it doesn't mean automatically they had a bad game  That's what stats do, they don't lie, but they don't tell the full story  Same with Messi having 0 KO goals until today"
34,@AbzSemtex @FabrizioRomano And Messi until today,  And Messi until today
35,Messi never scoring a goal in knockout stage until today is insane,Messi never scoring a goal in knockout stage until today is insane
36,@brfootball Surprised that Messi never had a knockout in WC goal until today, Surprised that Messi never had a knockout in WC goal until today
37,"Given the inevitability factor that is/was attached to both Messi and Ronaldo, it’s kinda mad that even if defences specifically tried to close them down, neither of them had got a knockout round goal in the World Cup until today","Given the inevitability factor that is/was attached to both Messi and Ronaldo, it’s kinda mad that even if defences specifically tried to close them down, neither of them had got a knockout round goal in the World Cup until today"
38,"@tompatiger How [Claudio] Cani[ggia] surprised you; You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."," How [Claudio] Cani[ggia] surprised you; You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."
39,"@PaulAndo1987 How Diego [Maradona] outplayed you; How [Claudio] Cani[ggia] surprised you; You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."," How Diego [Maradona] outplayed you; How [Claudio] Cani[ggia] surprised you; You've been crying since Italy [1990] until today. You're going to see Messi, he'll bring us back the Cup. Maradona is greater than Pele."
40,"@LUHGSzns_ Forget the decision, but that performance by Messi, shameless. I've never seen those ever given, until today, ridiculous how rigged it is for him."," Forget the decision, but that performance by Messi, shameless. I've never seen those ever given, until today, ridiculous how rigged it is for him."
41,@goal Mbappe was pretty impressive. But Messi carries his team on his back and shines. Wait until today's match, Mbappe was pretty impressive. But Messi carries his team on his back and shines. Wait until today's match
42,"@SkyBet After waiting until today hoping the messi 2 SOT debacle would be rectified, I would like to close my account fully @SkyBet @SkyBetHelp @OptaJoe shameful. Lost a lot of custom I imagine. Very disappointed that you haven't come to the right decision."," After waiting until today hoping the messi 2 SOT debacle would be rectified, I would like to close my account fully    shameful. Lost a lot of custom I imagine. Very disappointed that you haven't come to the right decision."
43,"God you're good... I have trusted your calling since my mother died in 2008...Until today, you have never changed! ❤️ #mexicoargentina #Doge #Messi𓃵 #FIFAWorldCup https://t.co/hq76uSFtCv","God you're good... I have trusted your calling since my mother died in 2008...Until today, you have never changed! ❤️ mexicoargentina Doge Messi𓃵 FIFAWorldCup "
44,"I have cried when they win or lose, but never when they score a goal until today. #VamosArgentina #Messi𓃵 https://t.co/GGgDCvfb9D","I have cried when they win or lose, but never when they score a goal until today. VamosArgentina Messi𓃵 "
45,"@emmalouisejay You are right. I never thought about it until today.
Messi is one of the reason, this guy deserves to win. Could be his last chance."," You are right. I never thought about it until today. Messi is one of the reason, this guy deserves to win. Could be his last chance."
46,Never knew I loved Messi this much until today 😍😍🤣😂,Never knew I loved Messi this much until today 😍😍🤣😂
47,"I’ve always known that I love Messi but I didn’t know it was wholeheartedly until today. Masa, more than an Argentine oo😂😂😂","I’ve always known that I love Messi but I didn’t know it was wholeheartedly until today. Masa, more than an Argentine oo😂😂😂"
48,i’ve never prayed on messi’s downfall until today,i’ve never prayed on messi’s downfall until today
49,until today the biggest butterfly effect that shocks me is how maupay injuring leno made messi win the 7th ballon dor,until today the biggest butterfly effect that shocks me is how maupay injuring leno made messi win the 7th ballon dor
50,"@FIFAWorldCup @adidasfootball My love for Messi until today is over as of today. I saw it as the best in Ronaldo's history. Messi can't even pass in front of that cup, let alone winning the world cup. https://t.co/BBuyzQQ1oV","  My love for Messi until today is over as of today. I saw it as the best in Ronaldo's history. Messi can't even pass in front of that cup, let alone winning the world cup. "
51,Fifa world cup final in 2014 left a big hole until today and nothing can top that up.......I'm really hoping that Messi's Argentina turns things around because Poland na Mexico game made it possible for them,Fifa world cup final in 2014 left a big hole until today and nothing can top that up.......I'm really hoping that Messi's Argentina turns things around because Poland na Mexico game made it possible for them
52,"@breathMessi21 I was rooting for him so hard that day I’m still upset at Germany and wish them all the worse until today. I don’t hate Messi, I enjoy food football rivalry. Also why are you giving up on him so soon? Even I haven’t."," I was rooting for him so hard that day I’m still upset at Germany and wish them all the worse until today. I don’t hate Messi, I enjoy food football rivalry. Also why are you giving up on him so soon? Even I haven’t."
53,I used to think Messi was the goat until today,I used to think Messi was the goat until today
54,@NickAdamsinUSA I thought Messi was a god....until today....🤪, I thought Messi was a god....until today....🤪
55,"@TettWesties @Barca_Buzz I will repeat, I'm a huge Ansu fan. One of those who still doesn't call for his #10 to be stripped from him. But don't say Messi is declining each game since he's been performing well every single game until today. Not Fati. That's a fact. You're the one who compared first","  I will repeat, I'm a huge Ansu fan. One of those who still doesn't call for his 10 to be stripped from him. But don't say Messi is declining each game since he's been performing well every single game until today. Not Fati. That's a fact. You're the one who compared first"
56,"Until today, Ronaldo is the one who's been knocked in the groups. Also, Messi scored today what the hell? https://t.co/fJXwDAscqP","Until today, Ronaldo is the one who's been knocked in the groups. Also, Messi scored today what the hell? "
57,@AngelWalksCA I’m trolling I just saw a lot of tweets about it. I didn’t even know who this Messi dude was until today LMAOO, I’m trolling I just saw a lot of tweets about it. I didn’t even know who this Messi dude was until today LMAOO
58,"The best photo I've seen until today 😍❤
2 🐐 in 1 Frame 😍❤

#FIFAWorldCup #Qatar2022 #Ronaldo #messi @Cristiano https://t.co/lcovARvbfI",The best photo I've seen until today 😍❤ 2 🐐 in 1 Frame 😍❤  FIFAWorldCup Qatar2022 Ronaldo messi  
59,"Forget the debate, the fact that Messi and Ronaldo have been going at it since 2008 up until today is fucking unreal. Over 15 years with no drop in quality is incredible.","Forget the debate, the fact that Messi and Ronaldo have been going at it since 2008 up until today is fucking unreal. Over 15 years with no drop in quality is incredible."
60,"@Traveall @Joshua_Ubeku You clearly didn't know Messi retired until today. At least you learnt something. Now also go and research why he retired and who he blamed😅😅

Bye 👋",  You clearly didn't know Messi retired until today. At least you learnt something. Now also go and research why he retired and who he blamed😅😅  Bye 👋
61,@nocontextfooty comparing other players for this trophy is thankless.  cr7 has reached a level that no other player has reached until today.  not even messi.., comparing other players for this trophy is thankless.  cr7 has reached a level that no other player has reached until today.  not even messi..
62,"@rebekkarnold @Enrohd_1992 I agree I have lost all respect for Ronaldo, 

MESSI IS THE GOAT 🔥🔥

Ronaldo was my favourite until today's interview","  I agree I have lost all respect for Ronaldo,   MESSI IS THE GOAT 🔥🔥  Ronaldo was my favourite until today's interview"
63,@PiersUncensored @Cristiano @piersmorgan @TalkTV Wow I was a Ronaldo fan until today wow can’t believe my eye or hear ….. Messi is the real goat when all this smoke sets,    Wow I was a Ronaldo fan until today wow can’t believe my eye or hear ….. Messi is the real goat when all this smoke sets
64,@JestemS89403198 @UtdPlug @PiersUncensored Until today I know why Messi is better,   Until today I know why Messi is better
65,"This one, is what you call magical night..this is Messi the reigning Ballon D'or and, 3 - 0 lead and Messi was praised like a God on leg 1. Leg 2 without Salah, without Bobby..Shaq and Origi starts..this happened. It still feels unbelieveable until today. https://t.co/tZdm6nrG8g","This one, is what you call magical night..this is Messi the reigning Ballon D'or and, 3 - 0 lead and Messi was praised like a God on leg 1. Leg 2 without Salah, without Bobby..Shaq and Origi starts..this happened. It still feels unbelieveable until today. "
66,@NALE_MYA @ChampionsLeague Lol... I didn't even know this record belonged to messi until today and it's not like everyone was praising him for it,  Lol... I didn't even know this record belonged to messi until today and it's not like everyone was praising him for it
67,I never knew Messi was a Ronaldo fan until today https://t.co/oY5bicta1f,I never knew Messi was a Ronaldo fan until today 
68,@saman__h @chrisbarrerra @PogWings7 @belragazo97 @NickRTFM last season he wasnt top 30 because he played his worse season ever even tho it was 19 g/a in 24 games which is generally good. this season he is placed 3rd for ballon d'or up until today and at this rate its either messi or neymar that wins the golden ball.,     last season he wasnt top 30 because he played his worse season ever even tho it was 19 g/a in 24 games which is generally good. this season he is placed 3rd for ballon d'or up until today and at this rate its either messi or neymar that wins the golden ball.
69,"@ibravii10 @amitttrmfc Never heard anyone flex about being jobless until today ,so props to you for that. I mean in fairness why earn a living working 9-5 if you can sit at home 9-5 wanking to Messi 2012 compilations, I see your point👏. Parents must be real proud of you","  Never heard anyone flex about being jobless until today ,so props to you for that. I mean in fairness why earn a living working 9-5 if you can sit at home 9-5 wanking to Messi 2012 compilations, I see your point👏. Parents must be real proud of you"
70,"I always heard that Messi grew up with Erasmus i never believed them until Today.... Vamoooos Dulcè Español 
#OnceAlways ❤ ☠🏴‍☠️ https://t.co/bt5iZ943FD",I always heard that Messi grew up with Erasmus i never believed them until Today.... Vamoooos Dulcè Español  OnceAlways ❤ ☠🏴‍☠️ 
71,@L4M3L0 @margielareeboks messi fans didn’t even know wat an ajaccio is until today,  messi fans didn’t even know wat an ajaccio is until today
72,"🗣️ Lionel Messi: “Until today, it has always been hard for me not to be able to 'sin' (eat chocolate).” https://t.co/alb2JdSbEd","🗣️ Lionel Messi: “Until today, it has always been hard for me not to be able to 'sin' (eat chocolate).” "
73,@IbrahimMakanju4 @Benzema @realmadrid @francefootball Ronaldo was the goat until today when messi took his spot,    Ronaldo was the goat until today when messi took his spot
74,@nocontextfooty Messi and Cristiano Ronaldo are not even 40% of what Pele was and is until today., Messi and Cristiano Ronaldo are not even 40% of what Pele was and is until today.
75,"@Vettel_AMR Ronaldo was told that he is the best ever, destined for greatness, but he started having only 1 problem, and that is Lionel Messi... until today, Messi overshadowed all of Ronaldos achievements..."," Ronaldo was told that he is the best ever, destined for greatness, but he started having only 1 problem, and that is Lionel Messi... until today, Messi overshadowed all of Ronaldos achievements..."
76,@KBonimtetezi 😂 😂 I was a ronaldo fan until today. Messi is the real Goat 🐐, 😂 😂 I was a ronaldo fan until today. Messi is the real Goat 🐐
77,"According to a report, they had to pass a law in Rosario to stop people from naming their son ""Messi"" as he inspire alot of parents to name their child after him.Yet, some still no gree.

I have never heard people say ""Messi had a negative influence on kids"" until today.

Omo! 😂","According to a report, they had to pass a law in Rosario to stop people from naming their son ""Messi"" as he inspire alot of parents to name their child after him.Yet, some still no gree.  I have never heard people say ""Messi had a negative influence on kids"" until today.  Omo! 😂"
78,Never packed Ronaldo or Messi….. until today. 7/almost 8 very long years https://t.co/iU2mpwoEyK,Never packed Ronaldo or Messi….. until today. 7/almost 8 very long years 
79,2005 was the last year neither Messi nor Cristiano Ronaldo were in the top 15 in the Ballon d'Or until today.,2005 was the last year neither Messi nor Cristiano Ronaldo were in the top 15 in the Ballon d'Or until today.
80,"@FarFrom_Usual @LilAlinz @Juni_YRN @LeoJrke @Muneeb_08 @Joshua_Ubeku I answer you for him. From the 2015/16 season against Atletico until today, Messi scored 4 goals and 0 assists in those 13 games (against Atleti, Juve, Roma, Liverpool, Bayern, PSG and Madrid) and his team received 30 goals and scored 14 goals. That's humiliation","      I answer you for him. From the 2015/16 season against Atletico until today, Messi scored 4 goals and 0 assists in those 13 games (against Atleti, Juve, Roma, Liverpool, Bayern, PSG and Madrid) and his team received 30 goals and scored 14 goals. That's humiliation"
81,@Irunnia_ I neva see am real until today. Messi na GOAT💪🏽, I neva see am real until today. Messi na GOAT💪🏽
82,Never took Messi for a sore loser until today 😂😂😂😂 https://t.co/kQSXjePW1Y,Never took Messi for a sore loser until today 😂😂😂😂 
83,"@gyaigyimii I didn’t like most of your posts trolling Messi until today I found out we have the name Joshua,  you’re my bro Joshua"," I didn’t like most of your posts trolling Messi until today I found out we have the name Joshua,  you’re my bro Joshua"
84,I’ve never seen so many Messi jerseys in JC until today.,I’ve never seen so many Messi jerseys in JC until today.
85,"@Daqqdeviberator Normal I done forgot who Beyoncé be until today, but you can talk football without Ronaldo or Messi."," Normal I done forgot who Beyoncé be until today, but you can talk football without Ronaldo or Messi."
86,DAWG MESSI IN MIAMI AND I DIDNT KNOW UNTIL TODAY,DAWG MESSI IN MIAMI AND I DIDNT KNOW UNTIL TODAY
87,"@johnnycortes @Evald5G @ESBNFC_ Since Cristiano turned 30 until today, he has scored 352 goals, so Messi has 3 years to score 146 goals, about 48.67 goals per year","   Since Cristiano turned 30 until today, he has scored 352 goals, so Messi has 3 years to score 146 goals, about 48.67 goals per year"
88,@shabibazam @lapulgafreak Nah he was acting up until today when he noticed messi/neymar in better positions and played the pass,  Nah he was acting up until today when he noticed messi/neymar in better positions and played the pass
89,@who_is_ibra @Snutulf @Cristianoera07 @MessiCenter @433 Why bring Messi into this Mess? He scored 6 goals last season and we never heard the end 9f it... We still hearing about it even up until today...,     Why bring Messi into this Mess? He scored 6 goals last season and we never heard the end 9f it... We still hearing about it even up until today...
90,"Football has been at it's peak from forever until today. Cause even today Messi dominates and Ronaldo watches!! 
#Ronaldo 
#ManUtd 
#Messi𓃵 https://t.co/KyxzulpcVR https://t.co/ndv0lkEjOa",Football has been at it's peak from forever until today. Cause even today Messi dominates and Ronaldo watches!!  Ronaldo  ManUtd  Messi𓃵  
91,"All the fat heads in the world are in PSG

From the management of PSG to the players, no one seems to have a clue. Until today, I did not understand what position Messi is played in.

Ever since he moved to PSG, he has been frustrated in every match, why should a world class https://t.co/niXje2Rihp","All the fat heads in the world are in PSG  From the management of PSG to the players, no one seems to have a clue. Until today, I did not understand what position Messi is played in.  Ever since he moved to PSG, he has been frustrated in every match, why should a world class "
92,@yermseulrener i meant messi aldjaksjsj he’s a random Brighton player who I thought was 39 until today, i meant messi aldjaksjsj he’s a random Brighton player who I thought was 39 until today
93,"@Yan_Boloke @mirkotwitta @MieuxEtait @AfterRMC Disagree. Vitinha was missed. He has been connecting with Messi &amp; the other forwards very well until today, when he couldn’t play due to suspension. The midfield lacked chemistry with each other and creativity. Renato wasn’t comfortable in his first start &amp; played poorly.","    Disagree. Vitinha was missed. He has been connecting with Messi &amp; the other forwards very well until today, when he couldn’t play due to suspension. The midfield lacked chemistry with each other and creativity. Renato wasn’t comfortable in his first start &amp; played poorly."
94,"@StegenChief @MessiEverything Once long time ago i saw a argument on tw from a guy saying Montoya was miles better than Daniel Alves
Has been the most embarrassing take 
Until today, this MATS over Messi take is more funny
Man he literally conceded 8 goals in a UCL knockout game","  Once long time ago i saw a argument on tw from a guy saying Montoya was miles better than Daniel Alves Has been the most embarrassing take  Until today, this MATS over Messi take is more funny Man he literally conceded 8 goals in a UCL knockout game"
95,"@Spaghetti_76 it’s insane😭i didn’t realize until today, but ronaldo fc is just as toxic as messi fc"," it’s insane😭i didn’t realize until today, but ronaldo fc is just as toxic as messi fc"
96,"@DailyPicTheme2 This is actually the ‘mate’, a tradicional #drink from native tribes in Argentina, Uruguay, Paraguay, south of Brazil, south of Bolivia and middle Chile, which endures until today. It is common to see an Argentinian or an Uruguayan with the elements for mate with him, like Messi."," This is actually the ‘mate’, a tradicional drink from native tribes in Argentina, Uruguay, Paraguay, south of Brazil, south of Bolivia and middle Chile, which endures until today. It is common to see an Argentinian or an Uruguayan with the elements for mate with him, like Messi."
97,Ronaldo scored on buffon and vs a quality team and messi did it vs a team i deadass never heard of until today. Only cause i dnt watch that league even if messi is in it its so boring lol i hope he goes to england or italy next 💪🏼,Ronaldo scored on buffon and vs a quality team and messi did it vs a team i deadass never heard of until today. Only cause i dnt watch that league even if messi is in it its so boring lol i hope he goes to england or italy next 💪🏼
98,No way people are gassing Messi after playing against a team I never heard about until today 😭😭😭,No way people are gassing Messi after playing against a team I never heard about until today 😭😭😭
99,"2/5)Messi has his own aura; &amp; Yuzuru Hanyu, with a fairy spirit that we have never seen before,slide all the way into the ice rink.
Why is Yuzuru Hanyu's most popular program still ""Seimei"" until today, bc Yuzuru Hanyu, who played Onmyoji Abe was perfectly integrated with his","2/5)Messi has his own aura; &amp; Yuzuru Hanyu, with a fairy spirit that we have never seen before,slide all the way into the ice rink. Why is Yuzuru Hanyu's most popular program still ""Seimei"" until today, bc Yuzuru Hanyu, who played Onmyoji Abe was perfectly integrated with his"
100,"I never watch anything with subtitles no matter how good it is until today when I watched the @neymarjr documentary. OMG, it's so great, he really is the #PerfectChaos. 3 outtakes 
a) He is a great player 
b) His dad is a good manager
c) Messi needs to go back to @FCBarcelona","I never watch anything with subtitles no matter how good it is until today when I watched the  documentary. OMG, it's so great, he really is the PerfectChaos. 3 outtakes  a) He is a great player  b) His dad is a good manager c) Messi needs to go back to "
101,"Whole lyrics: “Brazil, tell me how it feels to have your daddy in your house? I swear that even as the years pass, we will never forget How Diego outplayed you; How Caniggia surprised you; You've been crying since Italy until today. You're going to see Messi……………………”","Whole lyrics: “Brazil, tell me how it feels to have your daddy in your house? I swear that even as the years pass, we will never forget How Diego outplayed you; How Caniggia surprised you; You've been crying since Italy until today. You're going to see Messi……………………”"
102,"@MoneyMa43469183 @philipjonesgoat @LFCRobert_ @ANSUGOATI @433 When Ronaldo was Messi's age, he just got his 3rd CL in a row. 

Meanwhile Messi from 27yo until today...
😭😂 https://t.co/7uc1lFRbnF","     When Ronaldo was Messi's age, he just got his 3rd CL in a row.   Meanwhile Messi from 27yo until today... 😭😂 "
103,@FabrizioRomano Didn’t know Leo Messi was one of Lisandro Martínez’s agents until today. Won’t be a bad idea to sign both the player and the agent 😂, Didn’t know Leo Messi was one of Lisandro Martínez’s agents until today. Won’t be a bad idea to sign both the player and the agent 😂
104,"@Ava_rmcf @blueblanco21 @GOALAfrica Bro, do you know Ancelotti transformed Kaka' from college accountant to The best player in the world . and probably until today not many AMF better than him. only Messi i think, and If we're talking about Ancelotti best eleven and not Kaka' in it you're high... that's that...","   Bro, do you know Ancelotti transformed Kaka' from college accountant to The best player in the world . and probably until today not many AMF better than him. only Messi i think, and If we're talking about Ancelotti best eleven and not Kaka' in it you're high... that's that..."
105,"Truly I don’t know that one stream doesn’t lil  until today thanks @AyoBankole 
 @FlowsureMusic ur song Dey repeat 

Room 419 Ronaldo to Chlsea Neymar Lekki #Messi Sega Elanga Obasanjo Olamide Wizkid Davido https://t.co/fvsOFaNDdw https://t.co/3lT2L59G5L",Truly I don’t know that one stream doesn’t lil  until today thanks     ur song Dey repeat   Room 419 Ronaldo to Chlsea Neymar Lekki Messi Sega Elanga Obasanjo Olamide Wizkid Davido  
106,@Gg80777683Gg @messiveeran @AlienCritical @sportbible So you accept Madrid is bigger than Barcelona😂 I say Ronaldo is man of his words but Messi words not happen until today ..champions league back to campnou😂 then he play for psg...,    So you accept Madrid is bigger than Barcelona😂 I say Ronaldo is man of his words but Messi words not happen until today ..champions league back to campnou😂 then he play for psg...
107,@xenonsugar @Cardeli07 @nypost American and who is she cause never heard of her until today know the factory guy though saw him with Messi,   American and who is she cause never heard of her until today know the factory guy though saw him with Messi
108,Never got messi in anything until today https://t.co/sqGvwzgFlU,Never got messi in anything until today 
109,@jhonyffc @nocontextfooty Brazil without Messi continues without being champion until today😂😄,  Brazil without Messi continues without being champion until today😂😄
110,"@goal Cruyff is the best footballer ever, not just as a player. As a manager he be champion and has follower for his methods until today (although Michel influence him first).

Maradona and Pele just best as a player. Messi still best as a player, dont know in future."," Cruyff is the best footballer ever, not just as a player. As a manager he be champion and has follower for his methods until today (although Michel influence him first).  Maradona and Pele just best as a player. Messi still best as a player, dont know in future."
111,"@ojierexy @praveen10leo @PenguinSnappy @shotpunani1 @Ak_achi17 @Weoteam_ @CR7prime_ This team was ranked top 10 then in 2004. Of course some players retired, but the new replacements have been decent enough to keep the team in top 10 until today. Same can be argued about Messi. That’s why I don’t get this “Messi had a more decent team” argument without facts.","       This team was ranked top 10 then in 2004. Of course some players retired, but the new replacements have been decent enough to keep the team in top 10 until today. Same can be argued about Messi. That’s why I don’t get this “Messi had a more decent team” argument without facts."
